GIK.NAME	TIK.NAME	UIK.NAME	MO.NAME	MO.DISTRICT	LAT.ik	LON.ik	LAT.voteroom	LON.voteroom	UIK.NAME.short	TIK	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	AMOSOV	BEGLOV	TIKHONOVA
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №1	Коломна	1	59.920127	30.295072	59.920127	30.295072	"УИК №1"	1	1	1803	1200	587	11	602	11	587	23	575	0	0	110	345	120
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №2	Коломна	1	59.920127	30.295072	59.919364	30.295036	"УИК №2"	1	2	1466	1100	433	14	653	14	430	19	425	0	0	53	326	46
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №3	Коломна	1	59.91894	30.286269	59.91894	30.286269	"УИК №3"	1	3	2092	1600	576	22	1002	22	576	15	583	0	0	155	332	96
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №4	Коломна	1	59.91894	30.286269	59.917466	30.287688	"УИК №4"	1	4	1056	1000	318	4	678	4	318	13	309	0	0	67	171	71
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №5	Коломна	1	59.920127	30.295072	59.920127	30.295072	"УИК №5"	1	5	1827	1400	495	8	897	8	493	16	485	0	0	137	266	82
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №6	Коломна	1	59.91894	30.286269	59.91894	30.286269	"УИК №6"	1	6	1557	1200	453	13	734	13	453	12	454	0	0	118	263	73
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №7	Коломна	1	59.922391	30.286897	59.918819	30.276576	"УИК №7"	1	7	2095	1600	532	17	1051	17	532	13	536	0	0	131	305	100
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №8	Коломна	2	59.922373	30.296752	59.922373	30.296752	"УИК №8"	1	8	1523	1100	590	13	497	13	590	19	584	0	0	127	364	93
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №9	Коломна	2	59.922373	30.296752	59.926819	30.293671	"УИК №9"	1	9	1463	1300	473	26	801	26	473	17	482	0	0	128	253	101
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №10	Коломна	2	59.922373	30.296752	59.926819	30.293671	"УИК №10"	1	10	1629	1200	486	7	707	7	486	14	479	0	0	118	267	94
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №11	Коломна	2	59.922373	30.296752	59.926242	30.280501	"УИК №11"	1	11	1916	1500	521	15	964	14	521	21	514	0	0	96	329	89
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №12	Коломна	2	59.922391	30.286897	59.921363	30.281285	"УИК №12"	1	12	2570	1900	704	9	1187	9	700	30	679	0	0	158	376	145
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"		Коломна	2					"УИК №13"	1	13	325	350	60	264	26	264	60	2	322	0	0	6	295	21
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №14	Коломна	2	59.922391	30.286897	59.922391	30.286897	"УИК №14"	1	14	2457	2000	612	8	1380	8	612	19	601	0	0	85	435	81
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №15	Сенной округ	3	59.92412	30.309316	59.922147	30.309751	"УИК №15"	1	15	1765	1600	477	179	944	179	477	33	623	0	0	111	403	109
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №16	Сенной округ	3	59.92412	30.309316	59.922778	30.311152	"УИК №16"	1	16	1849	1500	616	17	867	17	616	26	607	0	0	127	357	123
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №17	Сенной округ	3	59.92412	30.309316	59.924028	30.31718	"УИК №17"	1	17	1701	1300	458	22	820	22	458	18	462	0	0	101	288	73
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №18	Сенной округ	3	59.928483	30.316057	59.922639	30.317108	"УИК №18"	1	18	1539	1300	410	27	863	27	410	23	414	0	0	91	250	73
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №19	Сенной округ	4	59.92412	30.309316	59.92412	30.309316	"УИК №19"	1	19	1614	1500	556	11	933	11	555	21	545	0	0	137	311	97
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №20	Сенной округ	4	59.928483	30.316057	59.930214	30.315329	"УИК №20"	1	20	1568	1200	394	13	793	13	394	12	395	0	0	79	236	80
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №21	Сенной округ	4	59.927026	30.309436	59.928447	30.310029	"УИК №21"	1	21	1736	1300	522	17	761	17	522	21	518	0	0	138	283	97
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №22	Сенной округ	4	59.927026	30.309436	59.927026	30.309436	"УИК №22"	1	22	1630	1200	517	36	647	36	517	23	530	0	0	101	334	95
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №23	Адмиралтейский	5	59.925885	30.302156	59.923004	30.303328	"УИК №23"	1	23	1344	1300	565	15	720	15	545	24	536	0	0	101	332	103
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №24	Адмиралтейский	5	59.925885	30.302156	59.926634	30.304226	"УИК №24"	1	24	1750	1300	433	8	859	8	428	9	427	0	0	103	238	86
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №25	Адмиралтейский	5	59.925885	30.302156	59.926427	30.303516	"УИК №25"	1	25	1930	1600	617	12	971	12	591	13	590	0	0	114	382	94
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №26	Адмиралтейский	5	59.927062	30.306262	59.930769	30.299959	"УИК №26"	1	26	1005	1000	327	7	666	7	327	15	319	0	0	66	199	54
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №27	Адмиралтейский	5	59.927062	30.306262	59.929725	30.304918	"УИК №27"	1	27	1059	1200	415	9	776	9	415	13	411	0	0	91	254	66
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №28	Адмиралтейский	6	59.927062	30.306262	59.929725	30.304918	"УИК №28"	1	28	1106	1000	385	143	472	143	372	18	497	0	0	92	325	80
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №29	Адмиралтейский	6	59.927062	30.306262	59.933478	30.31099	"УИК №29"	1	29	1609	1200	406	19	775	19	406	13	412	0	0	120	219	73
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №30	Адмиралтейский	6	59.931693	30.299824	59.931061	30.289623	"УИК №30"	1	30	1381	1100	449	15	636	15	422	10	427	0	0	64	309	54
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №31	Адмиралтейский	6	59.931693	30.299824	59.939095	30.308349	"УИК №31"	1	31	2357	1600	1274	9	317	9	1242	68	1183	0	0	216	618	349
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №32	Адмиралтейский	6	59.931693	30.299824	59.931129	30.294848	"УИК №32"	1	32	1915	1700	709	9	982	9	684	31	662	0	0	162	383	117
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №33	Семеновский	7	59.924727	30.332523	59.924727	30.332523	"УИК №33"	1	33	2438	2100	574	8	1518	8	573	27	554	0	0	72	418	64
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №34	Семеновский	7	59.924727	30.332523	59.924727	30.332523	"УИК №34"	1	34	1799	1700	558	85	1057	84	558	24	618	0	0	124	386	108
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №35	Семеновский	7	59.91825	30.324797	59.91825	30.324797	"УИК №35"	1	35	1229	1000	425	8	567	8	425	13	420	0	0	61	312	47
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №36	Семеновский	7	59.91825	30.324797	59.916189	30.32594	"УИК №36"	1	36	1605	1300	454	29	817	29	447	19	457	0	0	66	301	90
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №37	Семеновский	7	59.91825	30.324797	59.916189	30.32594	"УИК №37"	1	37	1079	1000	377	8	615	8	377	40	345	0	0	23	310	12
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №38	Семеновский	8	59.913228	30.32483	59.912053	30.326163	"УИК №38"	1	38	1793	1300	471	11	818	11	471	16	466	0	0	89	280	97
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №39	Семеновский	8	59.913228	30.32483	59.912053	30.326163	"УИК №39"	1	39	1953	1500	447	31	1022	31	447	16	462	0	0	110	275	77
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №40	Семеновский	8	59.913228	30.32483	59.913228	30.32483	"УИК №40"	1	40	1990	1500	548	12	940	12	548	16	544	0	0	139	314	91
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №41	Семеновский	8	59.91825	30.324797	59.917557	30.318771	"УИК №41"	1	41	1062	1000	334	2	664	2	334	8	328	0	0	50	221	57
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №42	Семеновский	8	59.913228	30.32483	59.912391	30.322354	"УИК №42"	1	42	1818	1300	552	16	732	16	551	12	555	0	0	119	313	123
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №43	Измайловское	9	59.914913	30.31029	59.914913	30.31029	"УИК №43"	1	43	2645	1600	1325	34	241	34	1325	88	1271	0	0	249	696	326
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №44	Измайловское	9	59.914678	30.305097	59.916753	30.298989	"УИК №44"	1	44	1118	1000	356	8	636	8	355	16	347	0	0	69	204	74
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №45	Измайловское	9	59.914678	30.305097	59.914678	30.305097	"УИК №45"	1	45	1898	1400	551	9	840	9	551	17	543	0	0	124	323	96
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №46	Измайловское	9	59.914613	30.31029	59.913447	30.302133	"УИК №46"	1	46	1746	1300	507	6	787	6	507	17	496	0	0	87	314	95
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №47	Измайловское	9	59.91323	30.309319	59.915188	30.316883	"УИК №47"	1	47	2353	1800	607	13	1180	13	596	22	587	0	0	137	345	105
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №48	Измайловское	10	59.91323	30.309319	59.91323	30.309319	"УИК №48"	1	48	1204	1000	447	4	549	4	446	8	442	0	0	72	287	83
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №49	Измайловское	10	59.909256	30.313622	59.910826	30.31479	"УИК №49"	1	49	2279	1700	654	13	1033	13	653	45	621	0	0	162	337	122
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №50	Измайловское	10	59.909256	30.313622	59.909256	30.313622	"УИК №50"	1	50	2248	1700	513	13	1174	13	512	15	510	0	0	56	401	53
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №51	Измайловское	10	59.91323	30.309319	59.911823	30.298162	"УИК №51"	1	51	1612	1300	395	9	896	9	395	14	390	0	0	52	257	81
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №52	Измайловское	10	59.909256	30.313622	59.900877	30.316919	"УИК №52"	1	52	2991	2100	738	10	1352	10	738	25	723	0	0	76	469	178
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №53	Екатерингофский	11	59.912441	30.286305	59.910853	30.292	"УИК №53"	1	53	2010	1500	584	16	900	16	583	24	575	0	0	118	373	84
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №54	Екатерингофский	11	59.912441	30.286305	59.912441	30.286305	"УИК №54"	1	54	2160	1600	556	16	1028	16	553	15	554	0	0	94	345	115
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №55	Екатерингофский	11	59.912441	30.286305	59.912441	30.286305	"УИК №55"	1	55	1476	1100	582	58	460	58	582	23	617	0	0	96	415	106
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №56	Екатерингофский	11	59.912441	30.286305	59.911723	30.272911	"УИК №56"	1	56	2217	1700	496	51	1153	51	496	20	527	0	0	99	328	100
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №57	Екатерингофский	12	59.904464	30.2708	59.907663	30.296941	"УИК №57"	1	57	2084	1500	604	2	894	2	604	11	595	0	0	134	333	128
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"		Екатерингофский	12					"УИК №58"	1	58	284	300	210	73	17	73	210	3	280	0	0	4	258	18
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №59	Екатерингофский	12	59.904464	30.2708	59.905385	30.275067	"УИК №59"	1	59	1912	1500	445	9	1046	9	444	11	442	0	0	79	291	72
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №60	Екатерингофский	12	59.904464	30.2708	59.904554	30.276216	"УИК №60"	1	60	2167	1700	573	26	1101	26	571	24	573	0	0	81	423	69
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №1"	Участковая избирательная комиссия №61	Екатерингофский	12	59.904464	30.2708	59.904464	30.2708	"УИК №61"	1	61	1703	1400	373	13	1014	13	373	7	379	0	0	61	241	77
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №104	МО 7	13	59.942476	30.290436	59.942476	30.290436	"УИК №104"	2	104	1645	1500	465	17	1018	17	464	14	467	0	0	98	266	103
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №105	МО 7	13	59.942476	30.290436	59.942476	30.290436	"УИК №105"	2	105	2097	1500	1012	8	480	8	1011	43	976	0	0	147	663	166
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №106	МО 7	13	59.94235	30.286705	59.94235	30.286705	"УИК №106"	2	106	1531	1500	392	8	1100	8	392	13	387	0	0	122	198	67
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №107	МО 7	13	59.940368	30.2847771	59.940368	30.2847771	"УИК №107"	2	107	1359	1500	381	7	1112	7	381	18	370	0	0	102	200	68
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №108	МО 7	13	59.940368	30.2847771	59.940368	30.2847771	"УИК №108"	2	108	1575	1500	405	10	1085	10	405	10	405	0	0	113	207	85
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №109	МО 7	13	59.93688	30.282144	59.93688	30.282144	"УИК №109"	2	109	1607	1500	471	6	1023	6	470	21	455	0	0	126	226	103
"Санкт-Петербургская избирательная комиссия"	"Территориальная избирательная комиссия №2"	Участковая избирательная комиссия №110	МО 7	13	59.93688	30.282144	59.93688	30.282144	"УИК №110"	2	110	1544	1500	319	10	1171	10	318	15	313	0	0	76	176	61
