REGION	TIK	UIK	TIK.NAME	UIK.NAME	VOTERS	BALLOTS.ISSUED	BALLOTS.CAST	BALLOTS.INVALID	YES	YES.pct	NO	NO.pct
Город Санкт-Петербург	1	1	Территориальная избирательная комиссия №1	УИК №1	1720	1613	1613	22	1106	68.57%	485	30.07%
Город Санкт-Петербург	1	2	Территориальная избирательная комиссия №1	УИК №2	1413	1322	1314	27	893	67.96%	394	29.98%
Город Санкт-Петербург	1	3	Территориальная избирательная комиссия №1	УИК №3	1918	1630	1613	41	1102	68.32%	470	29.14%
Город Санкт-Петербург	1	4	Территориальная избирательная комиссия №1	УИК №4	1139	953	948	35	662	69.83%	251	26.48%
Город Санкт-Петербург	1	5	Территориальная избирательная комиссия №1	УИК №5	1775	1617	1617	30	1240	76.69%	347	21.46%
Город Санкт-Петербург	1	6	Территориальная избирательная комиссия №1	УИК №6	1543	1294	1293	256	775	59.94%	262	20.26%
Город Санкт-Петербург	1	7	Территориальная избирательная комиссия №1	УИК №7	3475	2479	2438	20	1694	69.48%	724	29.70%
Город Санкт-Петербург	1	8	Территориальная избирательная комиссия №1	УИК №8	1486	1072	1070	4	875	81.78%	191	17.85%
Город Санкт-Петербург	1	9	Территориальная избирательная комиссия №1	УИК №9	1591	1262	1255	4	913	72.75%	338	26.93%
Город Санкт-Петербург	1	10	Территориальная избирательная комиссия №1	УИК №10	1540	1170	1082	8	759	70.15%	315	29.11%
Город Санкт-Петербург	1	11	Территориальная избирательная комиссия №1	УИК №11	1907	1474	1472	9	984	66.85%	479	32.54%
Город Санкт-Петербург	1	12	Территориальная избирательная комиссия №1	УИК №12	2603	2079	2001	25	1499	74.91%	477	23.84%
Город Санкт-Петербург	1	13	Территориальная избирательная комиссия №1	УИК №13	515	515	515	1	493	95.73%	21	4.08%
Город Санкт-Петербург	1	14	Территориальная избирательная комиссия №1	УИК №14	2586	2185	2184	231	1523	69.73%	430	19.69%
Город Санкт-Петербург	1	15	Территориальная избирательная комиссия №1	УИК №15	2059	1176	1176	9	760	64.63%	407	34.61%
Город Санкт-Петербург	1	16	Территориальная избирательная комиссия №1	УИК №16	1863	832	828	10	485	58.57%	333	40.22%
